lowercase,stop_words,analyzer,ngram_range,max_features,Accuracy,Precision,Recall,F1
True,None,word,"(1, 1)",None,0.7048592671269251,0.7126296841902197,0.7048592671269251,0.6994823339080302
True,None,word,"(1, 1)",1000,0.49389272437599574,0.5005623904269895,0.49389272437599574,0.4784522429687803
True,None,word,"(1, 1)",2000,0.5686404673393521,0.5792415682556874,0.5686404673393521,0.5573298025276563
True,None,word,"(1, 1)",5000,0.6550716941051513,0.6643816976924127,0.6550716941051513,0.6479647699812534
True,None,word,"(1, 2)",None,0.7045937334041423,0.7178346121105044,0.7045937334041423,0.699243791085917
True,None,word,"(1, 2)",1000,0.46309081253319173,0.45946614723148055,0.46309081253319173,0.4446104153145547
True,None,word,"(1, 2)",2000,0.5383696229421137,0.5492267412557182,0.5383696229421137,0.524624896465807
True,None,word,"(1, 2)",5000,0.6153744025491238,0.6303866996439264,0.6153744025491238,0.6076778926747917
True,None,word,"(2, 3)",None,0.5651885289431758,0.5813339774094775,0.5651885289431758,0.5606319248623429
True,None,word,"(2, 3)",1000,0.2604885820499203,0.2577995330255545,0.2604885820499203,0.24617272498124168
True,None,word,"(2, 3)",2000,0.32063197026022305,0.3204911711667665,0.32063197026022305,0.3070870124907313
True,None,word,"(2, 3)",5000,0.3904673393520977,0.395917736371284,0.3904673393520977,0.3777543474988846
True,english,word,"(1, 1)",None,0.7026022304832714,0.7084243679990193,0.7026022304832714,0.6973181237575543
True,english,word,"(1, 1)",1000,0.5103558151885289,0.5172665193859309,0.5103558151885289,0.49761560574691
True,english,word,"(1, 1)",2000,0.5815188528943176,0.5921582073841587,0.5815188528943176,0.5722339971852809
True,english,word,"(1, 1)",5000,0.6598513011152416,0.6692784200829964,0.6598513011152416,0.6535078377064414
True,english,word,"(1, 2)",None,0.7076473712161444,0.714896253938682,0.7076473712161444,0.7030753068834134
True,english,word,"(1, 2)",1000,0.5074349442379182,0.5137107749817427,0.5074349442379182,0.49450417391834833
True,english,word,"(1, 2)",2000,0.581651619755709,0.5920838389903879,0.581651619755709,0.5726085001351925
True,english,word,"(1, 2)",5000,0.6528146574614976,0.6628268860516561,0.6528146574614976,0.646877062450581
True,english,word,"(2, 3)",None,0.4200743494423792,0.4745501424981667,0.4200743494423792,0.43464047094241637
True,english,word,"(2, 3)",1000,0.2387148167817313,0.3417798955990574,0.2387148167817313,0.26220771484962774
True,english,word,"(2, 3)",2000,0.2865108868826341,0.38057456948269613,0.2865108868826341,0.3120346661691955
True,english,word,"(2, 3)",5000,0.35714285714285715,0.430283741739924,0.35714285714285715,0.37735990399860164
True,None,char,"(3, 5)",None,0.6821561338289963,0.7172509247254019,0.6821561338289963,0.6753080237583068
True,None,char,"(3, 5)",1000,0.3337758895379713,0.33801776549318996,0.3337758895379713,0.3058975591371536
True,None,char,"(3, 5)",2000,0.39564524694636216,0.4081997523929332,0.39564524694636216,0.37029006732353714
True,None,char,"(3, 5)",5000,0.4803505045140733,0.49009684463937975,0.4803505045140733,0.4583073800176988
True,None,char,"(3, 7)",None,0.6748539564524695,0.7113413710213348,0.6748539564524695,0.6685305141013836
True,None,char,"(3, 7)",1000,0.3231545406266596,0.3400104015350979,0.3231545406266596,0.2978745606733683
True,None,char,"(3, 7)",2000,0.37758895379713225,0.3861412829834196,0.37758895379713225,0.3517149984452519
True,None,char,"(3, 7)",5000,0.44476898566117895,0.45882786670301867,0.44476898566117895,0.421450317847273
False,None,word,"(1, 1)",None,0.7010090281465746,0.7081169608743779,0.7010090281465746,0.6953359146390858
False,None,word,"(1, 1)",1000,0.46879978757302176,0.47836514502036376,0.46879978757302176,0.4532794416680888
False,None,word,"(1, 1)",2000,0.544875199150292,0.5533708027659195,0.544875199150292,0.5328212936951737
False,None,word,"(1, 1)",5000,0.640201805629315,0.6498318714905423,0.640201805629315,0.6330092045245218
False,None,word,"(1, 2)",None,0.6962294211364843,0.7107073084481509,0.6962294211364843,0.6909679344141167
False,None,word,"(1, 2)",1000,0.42671269251194904,0.4405727035962207,0.42671269251194904,0.4084267899726029
False,None,word,"(1, 2)",2000,0.5084970791290494,0.514818487658691,0.5084970791290494,0.4938032000336054
False,None,word,"(1, 2)",5000,0.5894848645778014,0.5941289571561574,0.5894848645778014,0.5794329176889639
False,None,word,"(2, 3)",None,0.5370419543281997,0.5511288019312509,0.5370419543281997,0.5315665795223606
False,None,word,"(2, 3)",1000,0.2331386086032926,0.2318585814390259,0.2331386086032926,0.22016137540955216
False,None,word,"(2, 3)",2000,0.2873074880509825,0.29042796965401274,0.2873074880509825,0.273654543094213
False,None,word,"(2, 3)",5000,0.36471056824216674,0.37185509830682006,0.36471056824216674,0.35246789942562423
False,english,word,"(1, 1)",None,0.7002124269782263,0.7066613847447452,0.7002124269782263,0.6951195870515497
False,english,word,"(1, 1)",1000,0.48194370685077004,0.4881916111885859,0.48194370685077004,0.46840507347819393
False,english,word,"(1, 1)",2000,0.557886351566649,0.5681233469972338,0.557886351566649,0.5476070047900669
False,english,word,"(1, 1)",5000,0.6429899097185342,0.6507070820419384,0.6429899097185342,0.6365501186417528
False,english,word,"(1, 2)",None,0.7020711630377058,0.710947289759337,0.7020711630377058,0.6983774908060756
False,english,word,"(1, 2)",1000,0.4811471056824217,0.48891210162046633,0.4811471056824217,0.46780248968126165
False,english,word,"(1, 2)",2000,0.5515135422198619,0.5606142385998368,0.5515135422198619,0.5403746637291305
False,english,word,"(1, 2)",5000,0.6374137015400956,0.647026653168443,0.6374137015400956,0.630579833495065
False,english,word,"(2, 3)",None,0.3947158789166224,0.4368225399330224,0.3947158789166224,0.40489928297962624
False,english,word,"(2, 3)",1000,0.20485926712692512,0.27257693793873145,0.20485926712692512,0.21722387442177274
False,english,word,"(2, 3)",2000,0.2578332448220924,0.32216410701647225,0.2578332448220924,0.27193008914372824
False,english,word,"(2, 3)",5000,0.32966011683483804,0.3821618654304318,0.32966011683483804,0.3425157607641669
False,None,char,"(3, 5)",None,0.6833510355815189,0.7150047038160418,0.6833510355815189,0.6774679183445074
False,None,char,"(3, 5)",1000,0.3218268720127456,0.32150050112119727,0.3218268720127456,0.2910091438685943
False,None,char,"(3, 5)",2000,0.39697291556027614,0.4042082032542802,0.39697291556027614,0.37007051784354245
False,None,char,"(3, 5)",5000,0.4719861922464153,0.4802915845079996,0.4719861922464153,0.44819618639059855
False,None,char,"(3, 7)",None,0.6718003186404673,0.7081425773240067,0.6718003186404673,0.6657239384236127
False,None,char,"(3, 7)",1000,0.30098247477429635,0.3366079643178892,0.30098247477429635,0.27072998156677414
False,None,char,"(3, 7)",2000,0.3716144450345194,0.3756235502379974,0.3716144450345194,0.3437467910747588
False,None,char,"(3, 7)",5000,0.4391927774827403,0.45168805999349404,0.4391927774827403,0.4139263671888956
